"id","partner_id/id","icao","iata","elevation","aerodrome_type"
"aerodrome_02GE","partner_02GE","02GE","","710","small_airport"
"aerodrome_02HI","partner_02HI","02HI","","9","heliport"
"aerodrome_02IA","partner_02IA","02IA","","1160","heliport"
"aerodrome_02ID","partner_02ID","02ID","","5634","small_airport"
"aerodrome_02II","partner_02II","02II","","925","small_airport"
"aerodrome_02IN","partner_02IN","02IN","","904","small_airport"
"aerodrome_02IS","partner_02IS","02IS","","762","heliport"
"aerodrome_02KS","partner_02KS","02KS","","1170","small_airport"
"aerodrome_02KT","partner_02KT","02KT","","781","heliport"
"aerodrome_02KY","partner_02KY","02KY","","760","heliport"
"aerodrome_02LA","partner_02LA","02LA","","168","heliport"
"aerodrome_02LS","partner_02LS","02LS","","25","heliport"
"aerodrome_02MA","partner_02MA","02MA","","9","heliport"
"aerodrome_02MD","partner_02MD","02MD","","141","small_airport"
"aerodrome_02ME","partner_02ME","02ME","","700","small_airport"
"aerodrome_02MI","partner_02MI","02MI","","850","small_airport"
"aerodrome_02MN","partner_02MN","02MN","","1070","small_airport"
"aerodrome_02MO","partner_02MO","02MO","","650","small_airport"
"aerodrome_02MS","partner_02MS","02MS","","153","small_airport"
"aerodrome_02MT","partner_02MT","02MT","","3350","closed"
"aerodrome_02MU","partner_02MU","02MU","","1550","closed"
"aerodrome_02NC","partner_02NC","02NC","","809","heliport"
"aerodrome_02NE","partner_02NE","02NE","","1550","small_airport"
"aerodrome_02NH","partner_02NH","02NH","","1180","seaplane_base"
"aerodrome_02NJ","partner_02NJ","02NJ","","78","heliport"
"aerodrome_02NV","partner_02NV","02NV","","4443","small_airport"
"aerodrome_02NY","partner_02NY","02NY","","435","heliport"
"aerodrome_02OH","partner_02OH","02OH","","614","small_airport"
"aerodrome_02OI","partner_02OI","02OI","","950","small_airport"
"aerodrome_02OK","partner_02OK","02OK","","1191","closed"
"aerodrome_02OR","partner_02OR","02OR","","705","small_airport"
"aerodrome_02P","partner_02P","02P","","591","heliport"
"aerodrome_02PA","partner_02PA","02PA","","1070","heliport"
"aerodrome_02PN","partner_02PN","02PN","","390","heliport"
"aerodrome_02PR","partner_02PR","02PR","","15","small_airport"
"aerodrome_02PS","partner_02PS","02PS","","1700","small_airport"
"aerodrome_02SC","partner_02SC","02SC","","111","small_airport"
"aerodrome_02T","partner_02T","02T","","5830","small_airport"
"aerodrome_02TA","partner_02TA","02TA","","5","heliport"
"aerodrome_02TE","partner_02TE","02TE","","560","heliport"
"aerodrome_02TN","partner_02TN","02TN","","840","small_airport"
"aerodrome_02TS","partner_02TS","02TS","","684","closed"
"aerodrome_02TX","partner_02TX","02TX","","3235","small_airport"
"aerodrome_02UT","partner_02UT","02UT","","4412","small_airport"
"aerodrome_02VA","partner_02VA","02VA","","320","small_airport"
"aerodrome_02VG","partner_02VG","02VG","","1850","heliport"
"aerodrome_02WA","partner_02WA","02WA","","690","small_airport"
"aerodrome_02WI","partner_02WI","02WI","","920","small_airport"
"aerodrome_02WN","partner_02WN","02WN","","2150","small_airport"
"aerodrome_02XA","partner_02XA","02XA","","675","small_airport"
"aerodrome_02XS","partner_02XS","02XS","","510","closed"
"aerodrome_03AA","partner_03AA","03AA","","159","heliport"
"aerodrome_03AK","partner_03AK","03AK","","150","seaplane_base"
"aerodrome_03AL","partner_03AL","03AL","","628","heliport"
"aerodrome_03AR","partner_03AR","03AR","","350","heliport"
"aerodrome_03AZ","partner_03AZ","03AZ","","4275","small_airport"
"aerodrome_03CA","partner_03CA","03CA","","634","heliport"
"aerodrome_03CO","partner_03CO","03CO","","4950","small_airport"
"aerodrome_03FA","partner_03FA","03FA","","70","small_airport"
"aerodrome_03FD","partner_03FD","03FD","","115","closed"
"aerodrome_03FL","partner_03FL","03FL","","20","heliport"
"aerodrome_03GA","partner_03GA","03GA","","238","small_airport"
"aerodrome_03I","partner_03I","03I","","680","closed"
"aerodrome_03IA","partner_03IA","03IA","","954","small_airport"
"aerodrome_03ID","partner_03ID","03ID","","3180","small_airport"
"aerodrome_03II","partner_03II","03II","","465","small_airport"
