"id","name","city","country_id/id"
"partner_XA19","Drv Downtown Houston Aquarium Heliport","Houston","base.us"
"partner_XA20","Landry's Warehouse Heliport","Houston","base.us"
"partner_XA21","Las Colinas Medical Center Heliport","Irving","base.us"
"partner_XA22","Laredo Medical Center Heliport","Laredo","base.us"
"partner_XA23","Richardson Field","Pittsburg","base.us"
"partner_XA24","Tom Dye Heliport","Austin","base.us"
"partner_XA25","Lubbock Heart Hospital Heliport","Lubbock","base.us"
"partner_XA26","Palo Pinto General Hospital Heliport","Mineral Wells","base.us"
"partner_XA27","UT Health East Texas Pittsburg Hospital Heliport","Pittsburg","base.us"
"partner_XA28","Adkins Heliport","San Antonio","base.us"
"partner_XA29","Heart Hospital of San Antonio Heliport","San Antonio","base.us"
"partner_XA30","Etmc Trinity Heliport","Trinity","base.us"
"partner_XA31","Lewis Ranch Airport","Leakey","base.us"
"partner_XA32","Wolfe Field","Buckholts","base.us"
"partner_XA33","Thorny Woods Airport","Caddo Mills","base.us"
"partner_XA34","Allison Farm Airport","Decatur","base.us"
"partner_XA35","Southwest Rains Vol Fire Department Heliport","Flats","base.us"
"partner_XA36","Cook Children's Medical Center Heliport","Fort Worth","base.us"
"partner_XA37","Plaza Medical Center Heliport","Fort Worth","base.us"
"partner_XA38","Mickler Heliport","Friendswood","base.us"
"partner_XA39","Etmc - Gilmer Heliport","Gilmer","base.us"
"partner_XA40","Hound Run Airport","Hallettsville","base.us"
"partner_XA41","Lone Star Flying Service Airport","Harper","base.us"
"partner_XA42","Connies Aviation Airport","Kaufman","base.us"
"partner_XA43","Fall Creek Ranch Airport","Kerrville","base.us"
"partner_XA44","Birchfield Ranch Airport","Lometa","base.us"
"partner_XA45","Weedfalls Airport","Lone Oak","base.us"
"partner_XA46","Creekside Air Park","Mineola","base.us"
"partner_XA47","Tick Hill Airfield","Moody","base.us"
"partner_XA48","Dreamland Airport","Muenster","base.us"
"partner_XA49","Oso Canyon Airport","Langtry","base.us"
"partner_XA50","UT Health East Texas Quitman Hospital Heliport","Quitman","base.us"
"partner_XA51","Smith Airport","Robinson","base.us"
"partner_XA52","Ehni Airport","Trinity","base.us"
"partner_XA53","Presbyterian Hospital Of Allen Heliport","Allen","base.us"
"partner_XA54","Glen Rose Medical Center Heliport","Glen Rose","base.us"
"partner_XA56","Presbyterian Hospital Of Greenville Heliport","Greenville","base.us"
"partner_XA57","Wise Regional Health System Heliport","Decatur","base.us"
"partner_XA59","Medical City Lewisville Heliport","Lewisville","base.us"
"partner_XA60","Paris Regional Medical Center Heliport","Paris","base.us"
"partner_XA61","Baylor University Medical Center Dallas Heliport","Dallas","base.us"
"partner_XA62","Methodist Dallas Medical Center Heliport","Dallas","base.us"
"partner_XA63","AAF Heliport","Lucas","base.us"
"partner_XA64","Nash Ranch Airport","Batesville","base.us"
"partner_XA65","TxAeroSport Aerodrome","Dorchester","base.us"
"partner_XA66","El Jardin Ranch Airport","Encinal","base.us"
"partner_XA67","St. Joseph Medical Center Heliport","Houston","base.us"
"partner_XA68","Akroville Airport","Slidell","base.us"
"partner_XA69","Shelton Private Heliport","Tolar","base.us"
"partner_XA70","Detar Hospital - Navarro Campus Heliport","Victoria","base.us"
"partner_XA71","North Cedar Airport","Apple Springs","base.us"
"partner_XA72","Stocker Airport","Krum","base.us"
"partner_XA73","Galveston Helipad Area Nr 1 Heliport","Galveston","base.us"
"partner_XA74","Midstream Galveston Helipad Area Nr 2 Heliport","Galveston","base.us"
"partner_XA75","Double A Airport","Grandview","base.us"
"partner_XA76","Kriv Fox 26 Television Heliport","Houston","base.us"
"partner_XA77","Benny White Flying Airport","Lamesa","base.us"
"partner_XA78","Melody Ranch Airport","Mountain Springs","base.us"
"partner_XA79","Baylor Regional Medical Center At Plano Heliport","Plano","base.us"
"partner_XA80","Martin Energy Services Harbor Island Heliport","Port Aransas","base.us"
"partner_XA81","Midstream Port O'Connor Heliport","Port O'Connor","base.us"
"partner_XA82","Woodstone Corporation Heliport","Seguin","base.us"
"partner_XA83","South Padre Island Heliport","South Padre Island","base.us"
"partner_XA84","Stoney Fork Landing Airport","Valley View","base.us"
"partner_XA85","Cougar Landing Airport","Waco","base.us"
"partner_XA86","Driftwood Ranch Airport","Weatherford","base.us"
"partner_XA87","Coon Creek Club Heliport","Athens","base.us"
"partner_XA88","Dm Ranch Airport","Batesville","base.us"
"partner_XA89","Faith Ranch Airport","Carrizo Springs","base.us"
"partner_XA90","Fly 1 On Airport","Golden","base.us"
"partner_XA91","Wildwood Airport","Village Mills","base.us"
"partner_XA92","Herd Ranch Airport","Menard","base.us"
"partner_XA93","Tortuga Ranch Airport","Brundage","base.us"
"partner_XA94","Rick's Hilltop Heliport","Burnet","base.us"
"partner_XA95","Candelaria Airport","Candelaria","base.us"
"partner_XA96","En Gedi Ranch Airport","Canadian","base.us"
"partner_XA97","Mother Frances-Canton Heliport","Canton","base.us"
"partner_XA98","Jbj Ranch Airport","Decatur","base.us"
"partner_XA99","Flat Bush Airport","Decatur","base.us"
"partner_XBB","Blubber Bay Seaplane Base","Blubber Bay","base.ca"
"partner_XBN","Biniguni Airport","Biniguni","base.pg"
"partner_XBRO","Broadford Airstrip","Ashaig","base.uk"
"partner_XIG","Xinguara Municipal Airport","Xinguara","base.br"
"partner_XK-0001","KFOR Base Airfield","Camp Bondsteel","base.xk"
"partner_XLLL","Soltsy-2 Air Base","Soltsy","base.ru"
"partner_XLLN","Kasimovo Airfield","St. Petersburg","base.ru"
